Average travel time (min),date,link
97.4963768116,2015-01-01,17:0
196.464871194,2015-01-01,0:4
295.19047619,2015-01-01,4:6
191.139285714,2015-01-01,6:3
120.291800643,2015-01-01,3:0
97.3687350835,2015-02-01,17:0
196.354368932,2015-02-01,0:4
298.14432989700003,2015-02-01,4:6
193.148,2015-02-01,6:3
120.431304348,2015-02-01,3:0
99.0583941606,2015-03-01,17:0
199.736585366,2015-03-01,0:4
298.211267606,2015-03-01,4:6
193.826086957,2015-03-01,6:3
121.882996633,2015-03-01,3:0
97.7293986637,2015-04-01,17:0
199.399103139,2015-04-01,0:4
297.732394366,2015-04-01,4:6
193.895910781,2015-04-01,6:3
120.936908517,2015-04-01,3:0
97.5304740406,2015-05-01,17:0
198.408991228,2015-05-01,0:4
296.504587156,2015-05-01,4:6
193.298181818,2015-05-01,6:3
120.757258065,2015-05-01,3:0
97.3826086957,2015-06-01,17:0
197.79437229400003,2015-06-01,0:4
298.277511962,2015-06-01,4:6
193.722846442,2015-06-01,6:3
120.363564669,2015-06-01,3:0
97.4661399549,2015-07-01,17:0
197.430785124,2015-07-01,0:4
296.554545455,2015-07-01,4:6
191.667785235,2015-07-01,6:3
120.528810409,2015-07-01,3:0
97.4829545455,2015-08-01,17:0
196.24012474,2015-08-01,0:4
294.695454545,2015-08-01,4:6
190.516233766,2015-08-01,6:3
120.561886051,2015-08-01,3:0
97.423580786,2015-09-01,17:0
197.902807775,2015-09-01,0:4
295.210526316,2015-09-01,4:6
190.531666667,2015-09-01,6:3
121.058544304,2015-09-01,3:0
97.4166666667,2015-10-01,17:0
199.197228145,2015-10-01,0:4
295.612149533,2015-10-01,4:6
190.644039735,2015-10-01,6:3
121.832554517,2015-10-01,3:0
97.3245614035,2015-11-01,17:0
199.076252723,2015-11-01,0:4
295.473684211,2015-11-01,4:6
190.931208054,2015-11-01,6:3
122.098892405,2015-11-01,3:0
97.3814655172,2015-12-01,17:0
198.17405765,2015-12-01,0:4
295.869565217,2015-12-01,4:6
190.54368932,2015-12-01,6:3
120.922705314,2015-12-01,3:0
97.7850241546,2016-01-01,17:0
200.281653747,2016-01-01,0:4
295.979274611,2016-01-01,4:6
190.235507246,2016-01-01,6:3
120.083187391,2016-01-01,3:0
98.0250569476,2016-02-01,17:0
204.060493827,2016-02-01,0:4
303.344221106,2016-02-01,4:6
190.957854406,2016-02-01,6:3
120.202003339,2016-02-01,3:0
97.3574660633,2016-03-01,17:0
203.777647059,2016-03-01,0:4
303.613207547,2016-03-01,4:6
191.281481481,2016-03-01,6:3
120.293322734,2016-03-01,3:0
97.3220338983,2016-04-01,17:0
204.163265306,2016-04-01,0:4
303.71291866,2016-04-01,4:6
191.637735849,2016-04-01,6:3
120.423140496,2016-04-01,3:0
97.4255319149,2016-05-01,17:0
203.984234234,2016-05-01,0:4
302.971563981,2016-05-01,4:6
192.552325581,2016-05-01,6:3
120.737936772,2016-05-01,3:0
97.8151595745,2016-06-01,17:0
198.522222222,2016-06-01,0:4
299.825714286,2016-06-01,4:6
191.440816327,2016-06-01,6:3
121.070093458,2016-06-01,3:0
97.9349315068,2016-07-01,17:0
196.997975709,2016-07-01,0:4
298.726256983,2016-07-01,4:6
190.606349206,2016-07-01,6:3
121.181558935,2016-07-01,3:0
97.6244131455,2016-08-01,17:0
197.009278351,2016-08-01,0:4
295.554054054,2016-08-01,4:6
191.140070922,2016-08-01,6:3
120.984110169,2016-08-01,3:0
97.9919354839,2016-09-01,17:0
197.78030303,2016-09-01,0:4
294.78947368400003,2016-09-01,4:6
190.549657534,2016-09-01,6:3
121.242424242,2016-09-01,3:0
98.963356974,2016-10-01,17:0
197.870786517,2016-10-01,0:4
294.718009479,2016-10-01,4:6
190.606115108,2016-10-01,6:3
121.488924051,2016-10-01,3:0
98.3681055156,2016-11-01,17:0
197.872505543,2016-11-01,0:4
295.044334975,2016-11-01,4:6
190.134146341,2016-11-01,6:3
121.725083056,2016-11-01,3:0
98.138952164,2016-12-01,17:0
200.993103448,2016-12-01,0:4
298.215053763,2016-12-01,4:6
190.286738351,2016-12-01,6:3
120.650868878,2016-12-01,3:0
98.1002331002,2017-01-01,17:0
202.905109489,2017-01-01,0:4
300.35632183900003,2017-01-01,4:6
192.72659176,2017-01-01,6:3
120.0,2017-01-01,3:0
98.2188295165,2017-02-01,17:0
202.800511509,2017-02-01,0:4
301.292682927,2017-02-01,4:6
196.726190476,2017-02-01,6:3
120.067307692,2017-02-01,3:0
99.3769968051,2017-03-01,17:0
202.738386308,2017-03-01,0:4
300.566666667,2017-03-01,4:6
196.84751773,2017-03-01,6:3
120.105426357,2017-03-01,3:0
99.8434343434,2017-04-01,17:0
203.310843373,2017-04-01,0:4
300.098837209,2017-04-01,4:6
195.264367816,2017-04-01,6:3
120.0,2017-04-01,3:0
99.0765661253,2017-05-01,17:0
202.841607565,2017-05-01,0:4
299.81656804700003,2017-05-01,4:6
191.053030303,2017-05-01,6:3
119.89456869,2017-05-01,3:0
98.1843971631,2017-06-01,17:0
202.909930716,2017-06-01,0:4
300.448275862,2017-06-01,4:6
196.125,2017-06-01,6:3
119.837712519,2017-06-01,3:0
98.6892523364,2017-07-01,17:0
198.151315789,2017-07-01,0:4
296.64673913,2017-07-01,4:6
196.5,2017-07-01,6:3
121.399274047,2017-07-01,3:0
98.3179723502,2017-08-01,17:0
197.790286976,2017-08-01,0:4
295.972527473,2017-08-01,4:6
190.261324042,2017-08-01,6:3
121.578154426,2017-08-01,3:0
98.3,2017-09-01,17:0
198.485981308,2017-09-01,0:4
296.033519553,2017-09-01,4:6
190.646387833,2017-09-01,6:3
121.283333333,2017-09-01,3:0
98.3215077605,2017-10-01,17:0
198.125,2017-10-01,0:4
296.311111111,2017-10-01,4:6
190.441281139,2017-10-01,6:3
120.248153619,2017-10-01,3:0
98.5532879819,2017-11-01,17:0
198.389908257,2017-11-01,0:4
295.877777778,2017-11-01,4:6
190.842490842,2017-11-01,6:3
120.17721519,2017-11-01,3:0
98.1286681716,2017-12-01,17:0
200.947252747,2017-12-01,0:4
302.858695652,2017-12-01,4:6
190.615120275,2017-12-01,6:3
120.436908517,2017-12-01,3:0
98.5878378378,2018-01-01,17:0
202.95,2018-01-01,0:4
307.064864865,2018-01-01,4:6
190.813380282,2018-01-01,6:3
120.551829268,2018-01-01,3:0
99.4692874693,2018-02-01,17:0
201.913043478,2018-02-01,0:4
309.545454545,2018-02-01,4:6
189.727272727,2018-02-01,6:3
120.499165275,2018-02-01,3:0
100.453724605,2018-03-01,17:0
202.993534483,2018-03-01,0:4
309.315217391,2018-03-01,4:6
190.087542088,2018-03-01,6:3
120.549770291,2018-03-01,3:0
99.5095541401,2018-04-01,17:0
202.853932584,2018-04-01,0:4
307.70992366400003,2018-04-01,4:6
190.477386935,2018-04-01,6:3
120.630434783,2018-04-01,3:0
97.9775280899,2018-05-01,17:0
204.042394015,2018-05-01,0:4
302.904458599,2018-05-01,4:6
190.0,2018-05-01,6:3
120.703389831,2018-05-01,3:0
97.6641025641,2018-06-01,17:0
202.911564626,2018-06-01,0:4
302.67948717900003,2018-06-01,4:6
190.5,2018-06-01,6:3
120.693843594,2018-06-01,3:0
98.6861826698,2018-07-01,17:0
198.489669421,2018-07-01,0:4
304.532967033,2018-07-01,4:6
188.605095541,2018-07-01,6:3
121.337711069,2018-07-01,3:0
99.5380952381,2018-08-01,17:0
198.169642857,2018-08-01,0:4
310.356725146,2018-08-01,4:6
188.247491639,2018-08-01,6:3
121.379770992,2018-08-01,3:0
101.496368039,2018-09-01,17:0
198.054466231,2018-09-01,0:4
307.779661017,2018-09-01,4:6
190.23046875,2018-09-01,6:3
120.743089431,2018-09-01,3:0
100.086746988,2018-10-01,17:0
198.61655773400005,2018-10-01,0:4
301.5,2018-10-01,4:6
190.501992032,2018-10-01,6:3
120.669407895,2018-10-01,3:0
98.1775700935,2018-11-01,17:0
198.147505423,2018-11-01,0:4
300.899441341,2018-11-01,4:6
191.122222222,2018-11-01,6:3
120.609324759,2018-11-01,3:0
98.6542923434,2018-12-01,17:0
200.172277228,2018-12-01,0:4
288.005434783,2018-12-01,4:6
191.360169492,2018-12-01,6:3
120.668308703,2018-12-01,3:0
100.081140351,2019-01-01,17:0
201.702702703,2019-01-01,0:4
286.142857143,2019-01-01,4:6
191.561403509,2019-01-01,6:3
120.585443038,2019-01-01,3:0
100.889168766,2019-02-01,17:0
201.008247423,2019-02-01,0:4
290.012195122,2019-02-01,4:6
191.151658768,2019-02-01,6:3
120.634751773,2019-02-01,3:0
101.399558499,2019-03-01,17:0
200.856353591,2019-03-01,0:4
290.067010309,2019-03-01,4:6
191.542372881,2019-03-01,6:3
120.59618442,2019-03-01,3:0
99.2398081535,2019-04-01,17:0
196.770623742,2019-04-01,0:4
287.225641026,2019-04-01,4:6
191.502262443,2019-04-01,6:3
120.654639175,2019-04-01,3:0
98.4103139013,2019-05-01,17:0
196.847299814,2019-05-01,0:4
283.432692308,2019-05-01,4:6
191.366533865,2019-05-01,6:3
121.387358185,2019-05-01,3:0
98.2436194896,2019-06-01,17:0
197.752788104,2019-06-01,0:4
281.70744680900003,2019-06-01,4:6
190.6,2019-06-01,6:3
120.655,2019-06-01,3:0
98.3718820862,2019-07-01,17:0
202.472826087,2019-07-01,0:4
285.844559585,2019-07-01,4:6
191.28627451,2019-07-01,6:3
121.107913669,2019-07-01,3:0
98.6405063291,2019-08-01,17:0
200.785171103,2019-08-01,0:4
286.78021978,2019-08-01,4:6
191.304526749,2019-08-01,6:3
121.264705882,2019-08-01,3:0
99.3970588235,2019-09-01,17:0
201.248459959,2019-09-01,0:4
286.924855491,2019-09-01,4:6
190.987804878,2019-09-01,6:3
121.312080537,2019-09-01,3:0
98.9515738499,2019-10-01,17:0
202.067178503,2019-10-01,0:4
285.333333333,2019-10-01,4:6
191.817813765,2019-10-01,6:3
121.453047776,2019-10-01,3:0
98.2833333333,2019-11-01,17:0
201.545275591,2019-11-01,0:4
284.940828402,2019-11-01,4:6
190.582644628,2019-11-01,6:3
120.627749577,2019-11-01,3:0
99.4240506329,2019-12-01,17:0
204.01459854,2019-12-01,0:4
280.630434783,2019-12-01,4:6
186.237288136,2019-12-01,6:3
121.0,2019-12-01,3:0
99.2636655949,2020-01-01,17:0
201.723809524,2020-01-01,0:4
281.394160584,2020-01-01,4:6
186.901554404,2020-01-01,6:3
119.763302752,2020-01-01,3:0
99.1878306878,2020-02-01,17:0
200.912350598,2020-02-01,0:4
282.523809524,2020-02-01,4:6
187.873076923,2020-02-01,6:3
120.417085427,2020-02-01,3:0
98.9782608696,2020-03-01,17:0
201.477848101,2020-03-01,0:4
283.63,2020-03-01,4:6
187.591549296,2020-03-01,6:3
120.0,2020-03-01,3:0
102.928571429,2020-04-01,17:0
190.777777778,2020-04-01,0:4
283.63,2020-04-01,4:6
176.47826087,2020-04-01,6:3
124.98245614,2020-04-01,3:0
103.24,2020-05-01,17:0
197.24120603,2020-05-01,0:4
278.765625,2020-05-01,4:6
197.888888889,2020-05-01,6:3
124.469767442,2020-05-01,3:0
103.027027027,2020-06-01,17:0
200.052910053,2020-06-01,0:4
281.385620915,2020-06-01,4:6
191.181372549,2020-06-01,6:3
123.992327366,2020-06-01,3:0
